file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00697_0155_1092551_to_1099735,ཆོས་ངེས་ཅན་ཞིག་ལ་ཞིབ་ལྟ་བྱེད་པ་ནས་འགོ་བཙུགས་ཏེ་རྣམ་གཞག་གི་དོན་སྤྱི་ཞིག་གཏན་ཁེལ་བྱེད་པ་དང་།  ,chos nges can zhig la zhib lta byed pa nas 'go btsugs te rnam gzhag gi don spyi zhig gtan khel byed pa dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00697_0155_1092551_to_1099735.wav,STT_AB,2,92,7.184,wav16k/STT_AB00697_0155_1092551_to_1099735.wav,ཆོས་ངེས་ཅན་ཞིག་ལ་ཞིབ་ལྟ་བྱེད་པ་ནས་འགོ་བཙུགས་ཏེ། རྣམ་གཞག་གི་དོན་སྤྱི་ཞིག་གཏན་འཁེལ་བྱེད་པ་དང་།
STT_AB00697_0157_1112994_to_1116424,ཆོས་དེའི་གནས་ཚུལ་ལ་ཞིབ་འཇུག་ཚོད་ལྟ་བགྱི།  ,chos de'i gnas tshul la zhib 'jug tshod lta bgyi/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00697_0157_1112994_to_1116424.wav,STT_AB,2,42,3.43,wav16k/STT_AB00697_0157_1112994_to_1116424.wav,བཅོས་འདིའི་གནས་ཚུལ་ལ་ཞིབ་འཇུག་ཚོད་ལྟ་གྱིས།
STT_AB00565_0050_160639_to_163677,རང་གི་ངོ་བོས་གྲུབ་པའི་རང་བཞིན་སྣང་བའི་ ,rang gi ngo bos grub pa'i rang bzhin snang ba'i _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00565_0050_160639_to_163677.wav,STT_AB,2,39,3.038,wav16k/STT_AB00565_0050_160639_to_163677.wav,རང་གི་ངོ་བོས་གྲུབ་པའི་རང་བཞིན་སྣང་བས་
STT_AB00697_0140_990605_to_995622,ཤེས་རབ་ཚོགས་པའི་ཚོགས་མི་ལྟ་བུ་ཚན་རིག་དང་སེམས་དོན་རིག་པ་གཉིས་གཅིག་སྒྲིལ་བྱེད་པས་ ,shes rab tshogs pa'i tshogs mi lta bu tshan rig dang sems don rig pa gnyis gcig sgril byed pas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00697_0140_990605_to_995622.wav,STT_AB,2,80,5.017,wav16k/STT_AB00697_0140_990605_to_995622.wav,ཤེས་རབ་ཚོགས་པའི་ཚོགས་མི་ལྟ་བུ་ཚན་རིག་དང་སེམས་དོན་རིག་པ་གཉིས་གཅིག་སྒྲིལ་བྱས་པའི་
STT_AB00697_0143_1008907_to_1016134,འགྲོ་བ་མིའི་ཤེས་ཡོན་ཚང་མ་གཅིག་སྒྲིལ་བྱེད་པར་འབད་པའི་སེམས་དོན་རིག་པའི་ལས་འགུལ་གལ་ཆེན་ཞིག་རེད། མ་ཏྲམ་མེ་དང་ ,'gro ba mi'i shes yon tshang ma gcig sgril byed par 'bad pa'i sems don rig pa'i las 'gul gal chen zhig red/_ma tram me dang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00697_0143_1008907_to_1016134.wav,STT_AB,2,106,7.227,wav16k/STT_AB00697_0143_1008907_to_1016134.wav,འགྲོ་བ་མིའི་ཤེས་ཡོན་ཚང་མ་གཅིག་སྒྲི་བྱེས་པར་འབད་པའི་སེམས་དོན་རིག་པའི་ལས་འགུལ་གལ་ཆེན་ཞིག་རེད། མ་ཌ་མིན་དང་
STT_TT00771_0074_410164_to_413972,ཕྱག་ཆེན་ཡིན་པ་ཐལ། འདོད་པའི་ཕྱིར། རྩ་བའི་ཐལ་འགྱུར་ལ་འདོད་ལན་སྤྲད་པའི་ཕྱིར་ཟེ།  ,phyag chen yin pa thal/_'dod pa'i phyir/_rtsa ba'i thal 'gyur la 'dod lan sprad pa'i phyir ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00771_0074_410164_to_413972.wav,STT_TT,2,78,3.808,wav16k/STT_TT00771_0074_410164_to_413972.wav,ཕྱག་ཆེན་ཡིན་པར་ཐལ། འདོད་པའི་ཕྱིར། རྩ་བའི་ཐལ་འགྱུར་ལ་འདོད་ལན་སྤྲད་པའི་ཕྱིར་ཟེ།
STT_TT00771_0075_418228_to_422708,མཚོན་བྱེད་དཔེའི་ཕྱག་ཆེན་ལ་འཁྲུལ་བ་བཀག་ཞེས་པའི་དངོས་བསྟན་གྱི་ཕྱག་ཆེན་ཡིན་པས་ཁྱབ་པ་ཡོད་པ་ཡིན་ཏེ།  ,mtshon byed dpe'i phyag chen la 'khrul ba bkag zhes pa'i dngos bstan gyi phyag chen yin pas khyab pa yod pa yin te/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00771_0075_418228_to_422708.wav,STT_TT,2,96,4.48,wav16k/STT_TT00771_0075_418228_to_422708.wav,མཚོན་བྱེད་དཔེའི་ཕྱག་ཆེན་ལ་འཁྲུལ་བ་བཀག་ཞེས་པའི་དངོས་བསྟན་གྱི་ཕྱག་ཆེན་ཡིན་པས་ཁྱབ་པ་ཡོད་པ་ཡིན་ཏེ།
STT_TT00771_0072_398740_to_400820,ཕྱག་རྒྱ་ཆེན་པོ་དཔེའི་ཡེ་ཤེས་ཞེས་པའི་ ,phyag rgya chen po dpe'i ye shes zhes pa'i _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00771_0072_398740_to_400820.wav,STT_TT,2,37,2.08,wav16k/STT_TT00771_0072_398740_to_400820.wav,ཕྱག་རྒྱ་ཆེན་པོ་དཔེའི་ཡེ་ཤེས་ཞེས་པའི་
STT_TT00771_0073_405460_to_408820,དཔེའི་ཕྱག་ཆེན་ལ་འཁྲུལ་བ་དགག་ཞེས་པའི་དངོས་བསྟན་གྱི་ ,dpe'i phyag chen la 'khrul ba dgag zhes pa'i dngos bstan gyi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00771_0073_405460_to_408820.wav,STT_TT,2,51,3.36,wav16k/STT_TT00771_0073_405460_to_408820.wav,དཔེའི་ཕྱག་ཆེན་ལ་འཁྲུལ་བ་དགག་ཞེས་པའི་དངོས་བསྟན་གྱི་
STT_AB00320_0419_1530093_to_1533472,གཟུགས་མེད་དག་ཏུ་འཆི་བའི་ཚེ་དབང་པོ་གསུམ་ཅིག་ཅར་འགག་སྟེ།  ,gzugs med dag tu 'chi ba'i tshe dbang po gsum cig car 'gag ste/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00320_0419_1530093_to_1533472.wav,STT_AB,2,56,3.379,wav16k/STT_AB00320_0419_1530093_to_1533472.wav,གཟུགས་མེད་དག་ཏུ་འཆི་བའི་ཚེ་དབང་པོ་གསུམ་ཅིག་ཅར་འགགས་ཏེ།
